trail_id,trail_name,Municipality,Address,Latitude,Longitude,Miles of Trail,Trail Rating,parking,info,restrooms,drinkwater,hike,bike,horse,ski,accessible,motor,url,phone,address,publisher,licenseebrpd,Website
,DuVal Farm,South Kingstown,,,,3.5 miles,intermediate,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=12&src=siteList
,Garrison House Acres,South Kingstown,,,,1 mile,easy,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=56&src=siteList
,Thewlis Woods,South Kingstown,,,,0.8 miles,easy,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=14&src=siteList
,Weeden Farm,South Kingstown,,,,1.2 miles,easy,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=15&src=siteList
,Yawgoo Pond Trail,South Kingstown,,,,1.7 miles,intermediate,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=16&src=siteList
,Basket Swamp Preserve,Tiverton,,,,2 miles,easy,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=57&src=siteList
,Emily Ruecker Wildlife Refuge,Tiverton,,,,2 miles,intermediate,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=42&src=siteList
,Fort Barton and Ft. Barton Woods,Tiverton,,,,3.5 miles,intermediate,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=50&src=siteList
,Pardon Gray Preserve,Tiverton,,,,3 miles,easy,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=21&src=siteList
,Weetamoo Woods,Tiverton,,,,7 miles,intermediate,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=51&src=siteList
,Touisset Marsh Wildlife Refuge,Warren,,,,1.5 miles,intermediate,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=43&src=siteList
,Fry Pond Preserve,West Greenwich,,,,2.1 miles,intermediate,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=22&src=siteList
,Tillinghast Pond / Wickaboxet / Pratt Conservation Area,West Greenwich,,,,10 miles,easy,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=23&src=siteList
,Anderson Preserve,Westerly,,,,0.3 miles,easy,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=9&src=siteList
,Avondale Farm Preserve,Westerly,,,,1.6 miles,easy,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=3&src=siteList
,Dr. John Champlin Glacier Park,Westerly,,,,2+ miles,intermediate,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=4&src=siteList
,Grills Preserve,Westerly,,,,3 miles,intermediate,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=5&src=siteList
,Lathrop Wildlife Refuge,Westerly,,,,0.5 miles,intermediate,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=36&src=siteList
,Mastuxet Brook Greenway,Westerly,,,,0.3 miles,easy,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=6&src=siteList
,Riverwood,Westerly,,,,2 miles,intermediate,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=7&src=siteList
,The Flora H. Whiteley Preserve,Westerly,,,,0.3 miles,easy,,,,,Yes,,,,,,,,,,,http://www.exploreri.org/gSiteReport2.php?siteID=8&src=siteList
,Blackstone River Bikeway,Lincoln,,,,,,,,,,,Yes,,,,,,,,,,https://www.visitrhodeisland.com/what-to-do/bike-paths/140/blackstone-river-bikeway/
,Ten Mile River Greenway,,,,,,,,,,,,Yes,,,,,,,,,,https://www.visitrhodeisland.com/what-to-do/bike-paths/2017/ten-mile-river-greenway/
,East Bay Bike Path,,,,,,,,,,,,Yes,,,,,,,,,,https://www.visitrhodeisland.com/what-to-do/bike-paths/388/east-bay-bike-path/
,Coventry Bike Path/Coventry Greenway,,,,,,,,,,,,Yes,,,,,,,,,,https://www.visitrhodeisland.com/what-to-do/bike-paths/348/coventry-bike-pathcoventry-greenway/
,Davisville Bike Path at Quonset Point,,,,,,,,,,,,Yes,,,,,,,,,,https://www.visitrhodeisland.com/what-to-do/bike-paths/3023/davisville-bike-path-at-quonset-point/
,William C. O'Neill South County Bike Path,,,,,,,,,,,,Yes,,,,,,,,,,https://www.visitrhodeisland.com/what-to-do/bike-paths/1215/william-c-oneill-south-county-bike-path/
,Wilson Park Bikeway,,,,,,,,,,,,Yes,,,,,,,,,,https://www.visitrhodeisland.com/what-to-do/bike-paths/1489/wilson-park-bikeway/
,Washington Secondary Bike Path,,,,,,,,,,,,Yes,,,,,,,,,,https://www.visitrhodeisland.com/what-to-do/bike-paths/1426/washington-secondary-bike-path/
,Fred Lippitt Woonasquatucket River Greenway,,,,,,,,,,,,Yes,,,,,,,,,,
,Quonset Bike Path,,,,,,,,,,,,Yes,,,,,,,,,,
,South County Bike Path,,,,,,,,,,,,Yes,,,,,,,,,,
,Warren Bike Path,,,,,,,,,,,,Yes,,,,,,,,,,
