OBJECTID,ID,Name,Type,Street,Town,OwnerTyp,ConsType,ConsJuri,Steward,Playground,Ball Field,Soccer Field,Football Field,Multi-use Field,Basketball Court,Tennis,Volleyball Court,Track,Skate Park,IH_Rink,SH_Rink,Golf,Fishing,Boating,Hunting,Trails,Beach,Pool,Active Rec,Rest Room,Walking Path,Bike Path,State Grant,LWCF Grant,Lon,Lat,Short Summary,About Links,Map Links
62,62,India Point Park,Local Park,India,Providence,Municipal,,,Municipal,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Y,Y,-71.392367,41.817845,India Point Park is a Local Park located in Providence,,
71,71,Roger Williams Park,Local Park,Elmwood,Providence,Municipal,,,Municipal,1,4,0,0,2,0,10,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,Y,Y,-71.4123,41.782944,Roger Williams Park is a Local Park located in Providence,,
86,86,Beachmont / Hayes Field,Local Park,Calvin,Cranston,Municipal,,,Municipal,1,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,N,Y,-71.40733,41.775174,Beachmont / Hayes Field is a Local Park located in Cranston,,
87,87,Stillhouse Cove,Local Park,Narragansett,Cranston,State,,,RI DEM,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,N,N,-71.389917,41.770139,Stillhouse Cove is a Local Park located in Cranston,,
88,88,Aqueduct Field,Local Park,Aqueduct,Cranston,Municipal,,,Municipal,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,N,N,-71.444754,41.770694,Aqueduct Field is a Local Park located in Cranston,,
89,89,Osamequin Nature Trail,Local Park,Wampanoag,Barrington,Municipal,,,Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,N,N,-71.322961,41.77036,Osamequin Nature Trail is a Local Park located in Barrington,,
91,91,Sabin Point Park,Local Park,Shore,East Providence,Municipal,,,Municipal,1,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,Y,Y,-71.367953,41.76564,Sabin Point Park is a Local Park located in East Providence,,
97,97,Crescent Park / Loof Carousel,Local Park,Bullocks Point,East Providence,Municipal,,,Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,N,Y,-71.359192,41.757079,Crescent Park / Loof Carousel is a Local Park located in East Providence,,
99,99,Briggs Farm,Athletic Facility,Hope,Cranston,Municipal,,,Municipal,0,5,5,0,5,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,Y,Y,-71.511555,41.752075,Briggs Farm is a Athletic Facility located in Cranston,,
100,100,Latham Ave. Park,Local Park,Shore,Barrington,Municipal,,,Municipal,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,Y,N,-71.352122,41.745801,Latham Ave. Park is a Local Park located in Barrington,,
107,107,Mickey Stevens Sports Center,Local Park,Sandy,Warwick,Municipal,,,Municipal,0,3,0,0,0,2,8,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,N,Y,-71.414576,41.709954,Mickey Stevens Sports Center is a Local Park located in Warwick,,
109,109,Little Pond Beach,Local Park,Albert,Warwick,School,,,School,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,N,N,-71.407682,41.704952,Little Pond Beach is a Local Park located in Warwick,,
110,110,Upper Dam Pond,Local Park,Knotty Oak,Coventry,Municipal,,,Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,N,Y,-71.554188,41.70462,Upper Dam Pond is a Local Park located in Coventry,,
120,120,Briar Point Beach Area,Local Park,Briar Point,Coventry,Municipal,,,Municipal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Y,Y,-71.549679,41.674302,Briar Point Beach Area is a Local Park located in Coventry,,
121,121,Independence Park,Local Park,Thames,Bristol,Municipal,,,Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,Y,N,-71.279487,41.673785,Independence Park is a Local Park located in Bristol,,
127,127,Wilson Park,Local Park,Roosevelt,North Kingstown,Municipal,,,Municipal,1,3,10,0,10,2,2,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,Y,Y,-71.459231,41.574637,Wilson Park is a Local Park located in North Kingstown,,
140,140,Battery Park / Fort Greene,Local Park,Washington,Newport,Municipal,,,Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,N,N,-71.321638,41.496831,Battery Park / Fort Greene is a Local Park located in Newport,,
152,152,Third Beach,Local Park,Third Beach,Middletown,Municipal,,,Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,N,N,-71.245631,41.486537,Third Beach is a Local Park located in Middletown,,
160,160,Tri-Pond Park,Local Park,Asa Pond,South Kingstown,Municipal,,,Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,N,Y,-71.510929,41.456362,Tri-Pond Park is a Local Park located in South Kingstown,,
163,163,Tuckertown Recreation Area,Local Park,Tuckertown Park,South Kingstown,Municipal,,,Municipal,1,2,4,0,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,N,Y,-71.556846,41.426759,Tuckertown Recreation Area is a Local Park located in South Kingstown,,
168,168,Wilcox Park,Local Park,Grove,Westerly,Municipal,,,Municipal,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Y,N,-71.828134,41.378604,Wilcox Park is a Local Park located in Westerly,,
169,169,Ninigret Park,Local Park,Park,Charlestown,Municipal,,,Municipal,1,1,1,0,2,1,4,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,Y,Y,-71.665937,41.370021,Ninigret Park is a Local Park located in Charlestown,,
172,172,Coventry Greenway And Bike Path,Local Park,Main,Coventry,Municipal,,,Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,N,N,-71.57399,41.69507,Coventry Greenway And Bike Path is a Local Park located in Coventry,,
174,174,South Kingstown Town Beach,Local Park,Matunuck Beach,South Kingstown,Municipal,,,Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,Y,Y,-71.550589,41.375552,South Kingstown Town Beach is a Local Park located in South Kingstown,,
177,177,Britto's Park,Local Park,Unnamed,Warren,Municipal,,,Municipal,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,N,-71.261173,41.725052,Britto's Park is a Local Park located in Warren,,
178,178,Cole Avenue Field,Local Park,Hugh Cole,Warren,Municipal,,,Municipal,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,N,N,-71.257112,41.727364,Cole Avenue Field is a Local Park located in Warren,,
194,194,Doreen Tomlinson Complex,Athletic Facility,Daggett,Pawtucket,State,,,RI DEM,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,N,Y,-71.345288,41.886393,Doreen Tomlinson Complex is a Athletic Facility located in Pawtucket,,
195,195,Turner Reservoir,Local Park,Hunts Mill,East Providence,Municipal,,,Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,N,N,-71.343446,41.829768,Turner Reservoir is a Local Park located in East Providence,,
199,199,Veterans Memorial Park,Local Park,Veterans Park,Barrington,Municipal,,,Municipal,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,N,N,-71.313157,41.735869,Veterans Memorial Park is a Local Park located in Barrington,,
200,200,Higginson Avenue Sports Complex,Local Park,Crow Point,Central Falls,Municipal,,,Municipal,0,1,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Y,Y,-71.402455,41.885192,Higginson Avenue Sports Complex is a Local Park located in Central Falls,,
202,202,Herbert F. Paine Memorial Park,Local Park,Main,Coventry,Municipal,,,Municipal,1,4,0,0,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,Y,Y,-71.569691,41.692763,Herbert F. Paine Memorial Park is a Local Park located in Coventry,,
204,204,Brayton Ave. Field,Local Park,Unnamed,Cranston,Municipal,,,Municipal,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,N,N,-71.472299,41.746813,Brayton Ave. Field is a Local Park located in Cranston,,
205,205,Park View Field,Local Park,Park View,Cranston,Municipal,,,Municipal,1,3,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Y,N,-71.414537,41.772213,Park View Field is a Local Park located in Cranston,,
210,210,Pierce Field Athletic Complex,Athletic Facility,Mercer,East Providence,Municipal,,,Municipal,1,4,0,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,Y,N,-71.382405,41.810602,Pierce Field Athletic Complex is a Athletic Facility located in East Providence,,
216,216,King Park,Local Park,Wellington,Newport,Municipal,,,Municipal,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,Y,N,-71.319806,41.47655,King Park is a Local Park located in Newport,,
219,219,Fairlawn Veterans' Park,Local Park,Legion,Pawtucket,Municipal,,,Municipal,1,3,1,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,Y,Y,-71.410258,41.867437,Fairlawn Veterans' Park is a Local Park located in Pawtucket,,
224,224,Joslin Playground,Local Park,Kossuth,Providence,Municipal,,,Municipal,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,N,N,-71.44671,41.821175,Joslin Playground is a Local Park located in Providence,,
226,226,Neutaconkanut Park,Local Park,Killingly,Providence,Municipal,,,Municipal,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,Y,Y,-71.463318,41.814191,Neutaconkanut Park is a Local Park located in Providence,,
227,227,Old Mountain Field,Local Park,Kingstown,South Kingstown,Municipal,,,Municipal,1,2,0,0,0,0,4,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,Y,N,-71.488434,41.44621,Old Mountain Field is a Local Park located in South Kingstown,,
229,229,Town Farm Recreation Area,Local Park,Main,Tiverton,Municipal,,,Municipal,1,3,1,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,Y,N,-71.192116,41.582928,Town Farm Recreation Area is a Local Park located in Tiverton,,
232,232,Oakland Beach Park,Local Park,Burr,Warwick,Municipal,,,Municipal,1,1,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,Y,Y,-71.396434,41.685134,Oakland Beach Park is a Local Park located in Warwick,,
234,234,City Park,Local Park,Warwick Park,Warwick,Municipal,,,Municipal,1,4,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,Y,Y,-71.412482,41.692601,City Park is a Local Park located in Warwick,,
237,237,Natick Fields,Local Park,Crossland,West Warwick,Municipal,,,Municipal,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,N,N,-71.495264,41.726277,Natick Fields is a Local Park located in West Warwick,,
238,238,Riverpoint Park,Athletic Facility,Hay,West Warwick,Municipal,,,Municipal,20,5,3,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,Y,Y,-71.515249,41.717512,Riverpoint Park is a Athletic Facility located in West Warwick,,
245,245,Black Hut Management Area,Management Area,Glen Meadow,Burrillville,State,,,RI DEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,N,N,-71.648676,41.98721,Black Hut Management Area is a Management Area located in Burrillville,,
248,248,Doric Ave / Osler Field,Local Park,Doric,Cranston,Municipal,,,Municipal,1,0,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,Y,Y,-71.429907,41.770684,Doric Ave / Osler Field is a Local Park located in Cranston,,
262,262,Carl's Pond,Fishing / Boating,Jencks,Cumberland,State,,,RI DEM,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,N,N,-71.446601,42.013129,Carl's Pond is a Fishing / Boating located in Cumberland,,
263,263,St Paul / Waterford Playground,Local Park,Saint Paul,North Smithfield,Municipal,,,Municipal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,-71.540628,42.013987,St Paul / Waterford Playground is a Local Park located in North Smithfield,,
264,264,Buck Hill Management Area,Management Area,Benson Mountain,Burrillville,State,,,RI DEM,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,N,N,-71.787284,41.997063,Buck Hill Management Area is a Management Area located in Burrillville,,
265,265,Kendrick Ave. Playlot,Local Park,Kendrick,Woonsocket,Municipal,,,Municipal,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,N,N,-71.499965,42.007067,Kendrick Ave. Playlot is a Local Park located in Woonsocket,,
266,266,Cass Park,Local Park,Newland,Woonsocket,Municipal,,,Municipal,1,2,3,0,3,1,5,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,Y,Y,-71.489637,42.003844,Cass Park is a Local Park located in Woonsocket,,
267,267,Diamond Hill Park,Local Park,Diamond Hill,Cumberland,Municipal,,,Municipal,0,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,Y,Y,-71.418047,41.999597,Diamond Hill Park is a Local Park located in Cumberland,,
277,277,Barry Memorial Field,Local Park,Smithfield,Woonsocket,Municipal,,,Municipal,0,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,N,N,-71.518701,41.986057,Barry Memorial Field is a Local Park located in Woonsocket,,
289,289,Monastery,Local Park,Diamond Hill,Cumberland,Municipal,,,Municipal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,N,Y,-71.409732,41.935707,Monastery is a Local Park located in Cumberland,,
290,290,Blackstone Bikeway,State Park,Farnworth,Lincoln,State,,,RI DEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,N,N,-71.408355,41.911626,Blackstone Bikeway is a State Park located in Lincoln,,
291,291,George Washington Management Area,Management Area,Richardson,Burrillville,State,,,RI DEM,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,N,Y,-71.768508,41.942661,George Washington Management Area is a Management Area located in Burrillville,,
294,294,Washington Grove,State Park,Washington,Smithfield,State,,,RI DEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,N,Y,-71.538179,41.912813,Washington Grove is a State Park located in Smithfield,,
296,296,Woonasquatucket Reservoir,Fishing / Boating,Farnum Pike,Smithfield,State,,,RI DEM,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,N,Y,-71.541017,41.907611,Woonasquatucket Reservoir is a Fishing / Boating located in Smithfield,,
298,298,Durfee Hill Management Area,Management Area,Willie Woodhead,Glocester,State,,,RI DEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,N,Y,-71.747452,41.904398,Durfee Hill Management Area is a Management Area located in Glocester,,
299,299,Chase Farm Conservation Area,Conservation Area,Hollywood,Lincoln,Municipal,,,Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,Y,Y,-71.425167,41.909222,Chase Farm Conservation Area is a Conservation Area located in Lincoln,,
304,304,Georgiaville Beach,Local Park,Stillwater,Smithfield,Municipal,,,Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,N,N,-71.508516,41.890536,Georgiaville Beach is a Local Park located in Smithfield,,
306,306,Lincoln Woods,State Park,Lincoln Woods,Lincoln,State,,,RI DEM,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,1,0,N,Y,-71.431397,41.897262,Lincoln Woods is a State Park located in Lincoln,,
312,312,Marion Irons Beach,Local Park,Snake Hill,Glocester,Municipal,,,Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,N,N,-71.625818,41.879615,Marion Irons Beach is a Local Park located in Glocester,,
322,322,Greenlake Beach,Local Park,Bayou,Smithfield,Municipal,,,Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,N,N,-71.551839,41.865265,Greenlake Beach is a Local Park located in Smithfield,,
323,323,McCarthy Park,Local Park,School,Pawtucket,Municipal,,,Municipal,1,2,1,0,1,1,3,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,Y,N,-71.376462,41.863003,McCarthy Park is a Local Park located in Pawtucket,,
327,327,Snake Den State Park,Conservation Area,Hartford,Johnston,State,,,RI DEM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,N,Y,-71.532001,41.8413,Snake Den State Park is a Conservation Area located in Johnston,,
328,328,Lippitt Park,Local Park,Hope,Providence,Municipal,,,Municipal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,Y,-71.391451,41.854711,Lippitt Park is a Local Park located in Providence,,
333,333,Iola French Park,Local Park,Stansbury,Providence,Municipal,,,Municipal,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,N,N,-71.43287,41.851359,Iola French Park is a Local Park located in Providence,,
334,334,Ricci School Athletic Complex,Athletic Facility,Intervale,North Providence,Municipal,,,Municipal,0,0,3,0,3,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,N,N,-71.471598,41.848203,Ricci School Athletic Complex is a Athletic Facility located in North Providence,,
340,340,Mount Pleasant H. S. Fields,School,Rialto,Providence,School,,,School,0,1,2,1,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Y,N,-71.453569,41.83822,Mount Pleasant H. S. Fields is a School located in Providence,,
345,345,Johnston Sr High School,School,Cherry Hill,Johnston,School,,,School,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,N,N,-71.501006,41.833013,Johnston Sr High School is a School located in Johnston,,
348,348,Shippee Sawmill Pond,Fishing / Boating,Willoughby Young,Foster,State,,,RI DEM,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,N,N,-71.752366,41.833792,Shippee Sawmill Pond is a Fishing / Boating located in Foster,,
352,352,Dean Andrews Memorial Field,Local Park,Battey Meetinghouse,Scituate,State,,,RI DEM,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,N,N,-71.604893,41.829299,Dean Andrews Memorial Field is a Local Park located in Scituate,,
355,355,Roger Williams National Park,Local Park,Main,Providence,Federal,FEE,FED,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,N,N,-71.410546,41.830008,Roger Williams National Park is a Local Park located in Providence,,
356,356,Scituate Jr.-Sr. High School,School,Rockland,Scituate,School,,,School,0,0,1,1,1,0,4,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,N,N,-71.618977,41.824622,Scituate Jr.-Sr. High School is a School located in Scituate,,
363,363,Central / Classical  High Schools,School,Broad,Providence,School,,,School,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,N,N,-71.41935,41.81696,Central / Classical  High Schools is a School located in Providence,,
368,368,Bold Point Park,Local Park,Pier,East Providence,Municipal,,,Municipal,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,Y,Y,-71.390973,41.815222,Bold Point Park is a Local Park located in East Providence,,
371,371,Davey Lopes Park,Local Park,Prairie,Providence,Municipal,,,Municipal,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,N,N,-71.415963,41.810352,Davey Lopes Park is a Local Park located in Providence,,
379,379,Bucklin St. Park / McCrane Pool,Local Park,Bucklin,Providence,Municipal,,,Municipal,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,N,N,-71.428647,41.805194,Bucklin St. Park / McCrane Pool is a Local Park located in Providence,,
