ADA,About_Links,Acres_Miles,Active Rec,Additional_Names,Ball Field,Basketball Court,Beach,Bike Path,Boating,ConsJuri,ConsType,Contact_Info,Contact_Info_Seasonal,Description,Dogs_Allowed,Fishing,Football Field,GoRI_Incude_Suggestion,GoRI_TestFlag,GoRI_subset,Golf,Hunting,Ice Hockey Rink,LWCFGrant,Lat,Lon,Map_Links,Multi-use Field,Name,NoGoRI_Incude_Why,OBJECTID,OwnerTyp,Picnic_Area,Playground,Pool,RestRoom,Short_Description,Skate Park,Soccer Field,StateGrant,Steward,Street,Street_Type,Street Hockey Rink,Stroller_Friendly,Tennis,Town,Track,Trails,Type,Volleyball Court,Walking Path,KeyID
,,,1,,0,0,0,0,0,,,,,,,1,0,,,Y,0,0,0,Y,41.81784486,-71.39236738,,1,India Point Park,,62,MUN,,1,0,0,India Point Park is a Local Park located in Providence,0,1,Y,,India,Street,0,,0,Providence,0,0,Local Park,0,0,62
,,,1,,4,0,0,0,0,,,,,,,0,0,,,Y,0,0,0,Y,41.78294441,-71.41229964,,2,Roger Williams Park,,71,MUN,,1,0,1,Roger Williams Park is a Local Park located in Providence,0,0,Y,,Elmwood,Avenue,0,,10,Providence,0,1,Local Park,0,1,71
,,,1,,2,1,1,0,0,,,,,,,0,0,,,Y,0,0,0,Y,41.77517449,-71.40733039,,0,Beachmont / Hayes Field,,86,MUN,,1,0,0,Beachmont / Hayes Field is a Local Park located in Cranston,0,0,N,,Calvin,Avenue,0,,2,Cranston,0,0,Local Park,0,0,86
,,,0,,0,0,0,0,0,,,,,,,1,0,,,Y,0,0,0,N,41.77013939,-71.38991687,,0,Stillhouse Cove,,87,STA,,0,0,0,Stillhouse Cove is a Local Park located in Cranston,0,0,N,,Narragansett,Boulevard,0,,0,Cranston,0,0,Local Park,0,0,87
,,,1,Budlong Pool,4,2,0,0,0,,,,,,,0,0,,,Y,0,0,0,N,41.77069353,-71.44475406,,0,Aqueduct Field,,88,MUN,,0,1,0,Aqueduct Field is a Local Park located in Cranston,0,0,N,,Aqueduct,Street,0,,0,Cranston,0,0,Local Park,0,0,88
,,,1,,0,0,0,0,0,,,,,,,1,0,,,Y,0,0,0,N,41.77035999,-71.32296077,,0,Osamequin Nature Trail,,89,MUN,,0,0,0,Osamequin Nature Trail is a Local Park located in Barrington,0,0,N,,Wampanoag,Trail,0,,0,Barrington,0,1,Local Park,0,0,89
,,,1,,0,1,0,0,1,,,,,,,1,0,,,Y,0,0,0,Y,41.76564025,-71.36795302,,1,Sabin Point Park,,91,MUN,,1,0,0,Sabin Point Park is a Local Park located in East Providence,0,0,Y,,Shore,Road,0,,0,East Providence,0,0,Local Park,0,0,91
,,,1,,0,0,0,0,1,,,,,,,1,0,,,Y,0,0,0,Y,41.75707894,-71.35919226,,0,Crescent Park / Loof Carousel,,97,MUN,,0,0,1,Crescent Park / Loof Carousel is a Local Park located in East Providence,0,0,N,,Bullocks Point,Avenue,0,,0,East Providence,0,0,Local Park,0,0,97
,,,1,,5,0,0,0,0,,,,,,,0,0,,,Y,0,0,0,Y,41.75207533,-71.51155515,,5,Briggs Farm,,99,MUN,,0,0,1,Briggs Farm is a Athletic Field located in Cranston,0,5,Y,,Hope,Road,0,,2,Cranston,0,1,Athletic Field,0,0,99
,,,1,,0,0,0,0,0,,,,,,,1,0,,,Y,0,0,0,N,41.74580144,-71.35212189,,0,Latham Ave. Park,,100,MUN,,1,0,0,Latham Ave. Park is a Local Park located in Barrington,0,0,Y,,Latham ,Avenue,0,,0,Barrington,0,0,Local Park,0,0,100
,,,1,,3,2,0,0,0,,,,,,,0,0,,,Y,0,0,1,Y,41.70995384,-71.41457582,,0,Mickey Stevens Sports Center,,107,MUN,,0,1,1,Mickey Stevens Sports Center is a Local Park located in Warwick,1,0,N,,Sandy,Lane,0,,8,Warwick,0,0,Local Park,0,0,107
,,,0,,0,0,1,0,0,,,,,,,0,0,,,Y,0,0,0,N,41.70495199,-71.40768156,,0,Little Pond Beach,,109,SCH,,0,0,0,Little Pond Beach is a Local Park located in Warwick,0,0,N,,Albert,Road,0,,0,Warwick,0,0,Local Park,0,0,109
,,,1,,0,0,0,0,1,,,,,,,1,0,,,Y,0,0,0,Y,41.70461966,-71.55418808,,0,Upper Dam Pond,,110,MUN,,0,0,0,Upper Dam Pond is a Local Park located in Coventry,0,0,N,,White Rock,Road,0,,0,Coventry,0,0,Local Park,0,0,110
,,,0,,0,0,1,0,0,,,,,,,0,0,,,Y,0,0,0,Y,41.67430178,-71.54967928,,0,Briar Point Beach Area,,120,MUN,,1,0,1,Briar Point Beach Area is a Local Park located in Coventry,0,0,Y,,Briar Point,Avenue,0,,0,Coventry,0,0,Local Park,0,0,120
,,,1,,0,0,0,1,1,,,,,,,1,0,,,Y,0,0,0,N,41.67378512,-71.27948701,,0,Independence Park,,121,MUN,,0,0,1,Independence Park is a Local Park located in Bristol,0,0,Y,,Thames,Street,0,,0,Bristol,0,0,Local Park,0,1,121
,,,1,,3,2,0,0,1,,,,,,,1,0,,,Y,0,0,0,Y,41.57463658,-71.45923147,,10,Wilson Park,,127,MUN,,1,0,1,Wilson Park is a Local Park located in North Kingstown,0,10,Y,,Roosevelt,Avenue,0,,2,North Kingstown,0,0,Local Park,0,0,127
,,,0,,0,0,0,0,0,,,,,,,1,0,,,Y,0,0,0,N,41.49683146,-71.32163792,,0,Battery Park / Fort Greene,,140,MUN,,0,0,0,Battery Park / Fort Greene is a Local Park located in Newport,0,0,N,,Washington,Street,0,,0,Newport,0,0,Local Park,0,0,140
,,,1,,0,0,1,0,1,,,,,,,1,0,,,Y,0,0,0,N,41.48653722,-71.24563061,,0,Third Beach,,152,MUN,,0,0,0,Third Beach is a Local Park located in Middletown,0,0,N,,Third Beach,Road,0,,0,Middletown,0,0,Local Park,0,0,152
,,,1,,0,0,0,0,1,,,,,,,1,0,,,Y,0,0,0,Y,41.45636193,-71.51092917,,0,Tri-Pond Park,,160,MUN,,0,0,0,Tri-Pond Park is a Local Park located in South Kingstown,0,0,N,,Asa Pond,,0,,0,South Kingstown,0,1,Local Park,0,0,160
,,,1,,2,1,0,0,0,,,,,,,0,0,,,Y,0,0,0,Y,41.42675869,-71.55684564,,1,Tuckertown Recreation Area,,163,MUN,,1,0,1,Tuckertown Recreation Area is a Local Park located in South Kingstown,0,4,N,,Tuckertown Park,Drive,0,,2,South Kingstown,0,1,Local Park,0,0,163
,,,0,,0,0,0,0,0,,,,,,,0,0,,,Y,0,0,0,N,41.3786039,-71.82813437,,1,Wilcox Park,,168,MUN,,0,0,1,Wilcox Park is a Local Park located in Westerly,0,0,Y,,High,Street,0,,0,Westerly,0,0,Local Park,0,1,168
,,,1,,1,1,0,0,0,,,,,,,1,0,,,Y,0,0,0,Y,41.37002108,-71.66593747,,2,Ninigret Park,,169,MUN,,1,1,1,Ninigret Park is a Local Park located in Charlestown,0,1,Y,,Park,,0,,4,Charlestown,0,0,Local Park,0,0,169
,,,1,,0,0,0,0,0,,,,,,,0,0,,,Y,0,0,0,N,41.69506959,-71.57399033,,0,Coventry Greenway And Bike Path,,172,MUN,,0,0,0,Coventry Greenway And Bike Path is a Local Park located in Coventry,0,0,N,,Main,,0,,0,Coventry,0,0,Local Park,0,0,172
,,,0,,0,0,1,0,0,,,,,,,0,0,,,Y,0,0,0,Y,41.37555167,-71.55058944,,0,South Kingstown Town Beach,,174,MUN,,0,0,1,South Kingstown Town Beach is a Local Park located in South Kingstown,0,0,Y,,Matunuck Beach,Road,0,,0,South Kingstown,0,0,Local Park,0,0,174
,,,0,,1,0,0,0,0,,,,,,,0,1,,,Y,0,0,0,N,41.72505231,-71.26117284,,1,Britto's Park,,177,MUN,,0,0,0,Britto's Park is a Local Park located in Warren,0,1,N,,Unnamed,,0,,0,Warren,0,0,Local Park,0,0,177
,,,1,,1,0,0,0,0,,,,,,,0,0,,,Y,0,0,0,N,41.72736375,-71.25711183,,0,Cole Avenue Field,,178,MUN,,0,0,1,Cole Avenue Field is a Local Park located in Warren,0,1,N,,Hugh Cole,Road,0,,0,Warren,1,0,Local Park,0,0,178
,,,1,,5,0,0,0,0,,,,,,,0,0,,,Y,0,0,0,Y,41.88639259,-71.34528756,,1,Doreen Tomlinson Complex,,194,STA,,0,0,1,Doreen Tomlinson Complex is a Athletic Field located in Pawtucket,0,1,N,,Daggett,Avenue,0,,0,Pawtucket,0,0,Athletic Field,0,0,194
,,,0,,0,0,0,0,0,,,,,,,1,0,,,Y,0,0,0,N,41.82976755,-71.34344604,,0,Turner Reservoir,,195,MUN,,0,0,0,Turner Reservoir is a Local Park located in East Providence,0,0,N,,Pleasant,Street,0,,0,East Providence,0,1,Local Park,0,0,195
,,,1,,1,0,0,0,1,,,,,,,1,0,,,Y,0,0,0,N,41.73586873,-71.31315699,,0,Veterans Memorial Park,,199,MUN,,0,0,0,Veterans Memorial Park is a Local Park located in Barrington,0,0,N,,Park,Road,0,,0,Barrington,0,1,Local Park,0,0,199
,,,1,,1,2,0,0,0,,,,,,,0,1,,,Y,0,0,0,Y,41.88519239,-71.40245514,,1,Higginson Avenue Sports Complex,,200,MUN,,0,0,1,Higginson Avenue Sports Complex is a Local Park located in Central Falls,0,1,Y,,Crow Point,Road,0,,0,Central Falls,1,0,Local Park,0,0,200
,,,1,,4,2,0,1,0,,,,,,,0,0,,,Y,0,0,0,Y,41.69276337,-71.56969147,,0,Herbert F. Paine Memorial Park,,202,MUN,,1,0,0,Herbert F. Paine Memorial Park is a Local Park located in Coventry,1,0,Y,,Main,Street,0,,4,Coventry,0,0,Local Park,0,1,202
,,,1,,4,0,0,0,0,,,,,,,0,0,,,Y,0,0,0,N,41.74681344,-71.47229938,,0,Brayton Ave. Field,,204,MUN,,1,0,1,Brayton Ave. Field is a Local Park located in Cranston,0,0,N,,Brayton,Avenue,0,,0,Cranston,0,0,Local Park,0,1,204
,,,1,,3,1,0,0,0,,,,,,,0,0,,,Y,0,0,0,N,41.77221325,-71.41453689,,1,Park View Field,,205,MUN,,1,0,1,Park View Field is a Local Park located in Cranston,0,0,Y,,Park View,Boulevard,0,,4,Cranston,0,0,Local Park,0,1,205
,,,1,,4,2,0,0,0,,,,,,,0,0,,,Y,0,0,0,N,41.81060238,-71.38240482,,1,Pierce Field Athletic Complex,,210,MUN,,1,0,1,Pierce Field Athletic Complex is a Athletic Field located in East Providence,0,0,Y,,Mercer,Street,0,,2,East Providence,1,0,Athletic Field,0,0,210
,,,1,,2,0,0,0,1,,,,,,,1,0,,,Y,0,0,0,N,41.47654996,-71.31980592,,0,King Park,,216,MUN,,1,0,1,King Park is a Local Park located in Newport,0,0,Y,,Wellington,Avenue,0,,0,Newport,0,0,Local Park,0,0,216
,,,1,,3,1,0,0,0,,,,,,,0,0,,,Y,0,0,0,Y,41.86743701,-71.4102577,,1,Fairlawn Veterans' Park,,219,MUN,,1,1,1,Fairlawn Veterans' Park is a Local Park located in Pawtucket,0,1,Y,,Legion,Drive,0,,4,Pawtucket,0,0,Local Park,0,0,219
,,,0,,1,1,0,0,0,,,,,,,0,0,,,Y,0,0,0,N,41.82117529,-71.44671035,,0,Joslin Playground,,224,MUN,,1,1,0,Joslin Playground is a Local Park located in Providence,0,0,N,,Florence,Street,0,,0,Providence,0,0,Local Park,0,0,224
,,,1,,2,1,0,0,0,,,,,,,0,0,,,Y,0,0,0,Y,41.8141905,-71.46331751,,0,Neutaconkanut Park,,226,MUN,,1,1,0,Neutaconkanut Park is a Local Park located in Providence,1,0,Y,,Killingly,Street,0,,0,Providence,0,1,Local Park,0,0,226
,,,1,,2,0,0,0,0,,,,,,,1,0,,,Y,0,0,0,N,41.44620996,-71.48843399,,0,Old Mountain Field,,227,MUN,,1,0,0,Old Mountain Field is a Local Park located in South Kingstown,1,0,Y,,Kingstown,Road,1,,4,South Kingstown,0,1,Local Park,0,0,227
,,,1,,3,0,0,0,0,,,,,,,0,0,,,Y,0,0,0,N,41.58292839,-71.19211558,,2,Town Farm Recreation Area,,229,MUN,,1,0,0,Town Farm Recreation Area is a Local Park located in Tiverton,0,1,Y,,Main,Road,0,,4,Tiverton,0,0,Local Park,0,1,229
,,,1,,1,1,1,0,1,,,,,,,1,0,,,Y,0,0,0,Y,41.68513423,-71.39643398,,1,Oakland Beach Park,,232,MUN,,1,0,1,Oakland Beach Park is a Local Park located in Warwick,0,0,Y,,Stender ,Boulevard,0,,0,Warwick,0,0,Local Park,0,0,232
,,,1,,4,2,0,1,0,,,,,,,0,0,,,Y,0,0,0,Y,41.6926006,-71.41248189,,0,City Park,,234,MUN,,1,0,1,City Park is a Local Park located in Warwick,0,2,Y,,Steven O'Connor,Boulevard,0,,0,Warwick,0,0,Local Park,0,1,234
,,,1,,3,0,0,0,0,,,,,,,0,0,,,Y,0,0,0,N,41.72627732,-71.4952641,,0,Natick Fields,,237,MUN,,0,0,0,Natick Fields is a Local Park located in West Warwick,0,0,N,,Crossland,Street,0,,1,West Warwick,0,0,Local Park,0,0,237
,,,1,,5,2,0,1,0,,,,,,,1,0,,,Y,0,0,0,Y,41.71751213,-71.51524934,,0,Riverpoint Park,,238,MUN,,20,0,1,Riverpoint Park is a Athletic Field located in West Warwick,0,3,Y,,Hay,Street,0,,0,West Warwick,0,0,Athletic Field,0,1,238
,,,1,,0,0,0,0,0,,,,,,,0,0,,,Y,0,1,0,N,41.98720971,-71.64867624,,0,Black Hut Management Area,,245,STA,,0,0,0,Black Hut Management Area is a Management Area located in Burrillville,0,0,N,,Spring Lake ,Road,0,,0,Burrillville,0,1,Management Area,0,0,245
,,,1,,0,2,0,0,0,,,,,,,0,0,,,Y,0,0,0,Y,41.77068351,-71.42990723,,1,Doric Ave / Osler Field,,248,MUN,,1,0,1,Doric Ave / Osler Field is a Local Park located in Cranston,0,1,Y,,Doric,Avenue ,0,,1,Cranston,0,0,Local Park,0,1,248
,,,1,,0,0,0,0,1,,,,,,,1,0,,,Y,0,0,0,N,42.01312872,-71.44660116,,0,Carl's Pond,,262,STA,,0,0,0,Carl's Pond is a Fishing & Boating Area located in Cumberland,0,0,N,,Jencks,Road,0,,0,Cumberland,0,0,Fishing & Boating Area,0,0,262
,,,0,,0,0,0,0,0,,,,,,,0,0,,,Y,0,0,0,Y,42.01398697,-71.54062787,,0,St Paul / Waterford Playground,,263,MUN,,1,0,0,St Paul / Waterford Playground is a Local Park located in North Smithfield,0,0,N,,Saint Paul,Street,0,,0,North Smithfield,0,0,Local Park,0,0,263
,,,0,,0,0,0,0,0,,,,,,,1,0,,,Y,0,1,0,N,41.99706348,-71.78728439,,0,Buck Hill Management Area,,264,STA,,0,0,0,Buck Hill Management Area is a Management Area located in Burrillville,0,0,N,,Starr,Road,0,,0,Burrillville,0,1,Management Area,0,0,264
,,,1,,0,1,0,0,0,,,,,,,0,0,,,Y,0,0,0,N,42.00706746,-71.49996486,,0,Kendrick Ave. Playlot,,265,MUN,,1,0,0,Kendrick Ave. Playlot is a Local Park located in Woonsocket,0,0,N,,Kendrick,Avenue,0,,0,Woonsocket,0,0,Local Park,0,0,265
,,,1,,2,1,0,0,0,,,,,,,1,0,,,Y,0,0,0,Y,42.00384364,-71.48963718,,3,Cass Park,,266,MUN,,1,0,0,Cass Park is a Local Park located in Woonsocket,0,3,Y,,Newland,Avenue,0,,5,Woonsocket,1,0,Local Park,0,1,266
,,,1,,2,0,0,0,0,,,,,,,0,0,,,Y,0,0,0,Y,41.99959722,-71.41804724,,2,Diamond Hill Park,,267,MUN,,0,0,0,Diamond Hill Park is a Local Park located in Cumberland,0,2,Y,,Diamond Hill,Road,0,,0,Cumberland,0,1,Local Park,0,0,267
,,,1,,3,0,0,0,0,,,,,,,0,1,,,Y,0,0,0,N,41.98605713,-71.51870073,,2,Barry Memorial Field,,277,MUN,,0,0,1,Barry Memorial Field is a Athletic Field located in Woonsocket,0,2,N,,Smithfield,Road,0,,0,Woonsocket,0,0,Athletic Field,0,0,277
,,,0,,0,0,0,0,0,,,,,,,0,0,,,Y,0,0,0,Y,41.93570732,-71.40973156,,0,Monastery,,289,MUN,,1,0,0,Monastery is a Local Park located in Cumberland,0,0,N,,Diamond Hill,Road,0,,0,Cumberland,0,1,Local Park,0,0,289
,,,1,,0,0,0,0,0,,,,,,,0,0,,,Y,0,0,0,N,41.91162597,-71.40835476,,0,Blackstone Bikeway,,290,STA,,0,0,0,Blackstone Bikeway is a State Park located in Lincoln,0,0,N,,Farnworth,,0,,0,Lincoln,0,0,State Park,0,1,290
,,,1,,0,0,0,0,0,,,,,,,1,0,,,Y,0,1,0,Y,41.94266103,-71.7685075,,0,George Washington Management Area,,291,STA,,0,0,0,George Washington Management Area is a Management Area located in Burrillville,0,0,N,,Richardson,,0,,0,Burrillville,0,1,Management Area,0,0,291
,,,0,,0,0,0,0,0,,,,,,,0,0,,,Y,0,0,0,Y,41.91281288,-71.53817926,,0,Washington Grove,,294,STA,,0,0,0,Washington Grove is a State Park located in Smithfield,0,0,N,,Washington,Highway,0,,0,Smithfield,0,0,State Park,0,0,294
,,,0,,0,0,0,0,0,,,,,,,1,0,,,Y,0,0,0,Y,41.90761051,-71.54101704,,0,Woonasquatucket Reservoir,,296,STA,,0,0,0,Woonasquatucket Reservoir is a Fishing & Boating Area located in Smithfield,0,0,N,,Farnum Pike,Pike,0,,0,Smithfield,0,0,Fishing & Boating Area,0,0,296
,,,0,,0,0,0,0,0,,,,,,,0,0,,,Y,0,1,0,Y,41.90439763,-71.74745167,,0,Durfee Hill Management Area,,298,STA,,0,0,0,Durfee Hill Management Area is a Management Area located in Glocester,0,0,N,,Durfee Hill ,Road,0,,0,Glocester,0,1,Management Area,0,0,298
,,,0,,0,0,0,0,0,,,,,,,0,0,,,Y,0,0,0,Y,41.90922216,-71.42516672,,0,Chase Farm Conservation Area,,299,MUN,,0,0,0,Chase Farm Conservation Area is a Conservation Area located in Lincoln,0,0,Y,,Hollywood,Lane,0,,0,Lincoln,0,1,Conservation Area,0,1,299
,,,1,,0,0,1,0,1,,,,,,,1,0,,,Y,0,0,0,N,41.89053593,-71.50851584,,0,Georgiaville Beach,,304,MUN,,0,0,1,Georgiaville Beach is a Local Park located in Smithfield,0,0,N,,Stillwater,Road,0,,0,Smithfield,0,0,Local Park,0,0,304
Yes,http://www.riparks.com/Locations/LocationLincolnWoods.html,627 acres,1,Lincoln Woods State Park,1,0,0,0,1,,,(401) 723-7892,,"This 627-acre park is located just outside of Providence. It includes all of Olney Pond and offers facilities used by thousand of visitors each year for picnicking, boating, baseball, freshwater, swimming, fishing, horseback riding and hiking. It is also very popular for jogging and walking. During the winter months it is popular for ice fishing, ice skating and snowmobiling.",Yes,1,0,,,Y,0,0,0,Y,41.89726179,-71.43139699,,1,Lincoln Woods,,306,STA,Yes,0,0,1,Lincoln Woods is a State Park located in Lincoln,0,0,N,,Lincoln Woods,Road,0,Yes,0,Lincoln,0,1,State Park,0,1,306
,,,0,,0,0,1,0,0,,,,,,,0,0,,,Y,0,0,0,N,41.87961516,-71.62581788,,0,Marion Irons Beach,,312,MUN,,0,0,0,Marion Irons Beach is a Local Park located in Glocester,0,0,N,,Snake Hill,Road,0,,0,Glocester,0,0,Local Park,0,0,312
,,,0,,0,0,1,0,0,,,,,,,1,0,,,Y,0,0,0,N,41.86526486,-71.55183922,,0,Greenlake Beach,,322,MUN,,0,0,1,Greenlake Beach is a Local Park located in Smithfield,0,0,N,,Green Lake ,Drive,0,,0,Smithfield,0,0,Local Park,0,0,322
,,,1,,2,1,0,0,0,,,,,,,1,0,,,Y,0,0,0,N,41.86300335,-71.3764615,,1,McCarthy Park,,323,MUN,,1,0,0,McCarthy Park is a Local Park located in Pawtucket,0,1,Y,,School,Street,1,,3,Pawtucket,0,0,Local Park,0,0,323
,,,0,,0,0,0,0,0,,,,,,,0,0,,,Y,0,1,0,Y,41.84130031,-71.5320006,,0,Snake Den State Park,,327,STA,,0,0,0,Snake Den State Park is a Conservation Area located in Johnston,0,0,N,,Hartford,Ave,0,,0,Johnston,0,1,Conservation Area,0,0,327
,,,0,,0,0,0,0,0,,,,,,,0,0,,,Y,0,0,0,Y,41.85471096,-71.39145097,,0,Lippitt Park,,328,MUN,,1,0,0,Lippitt Park is a Local Park located in Providence,0,0,N,,Hope,Street,0,,0,Providence,0,0,Local Park,0,1,328
,,,1,,1,0,0,0,0,,,,,,,0,0,,,Y,0,0,0,N,41.85135922,-71.43286975,,1,Iola French Park,,333,MUN,,0,0,0,Iola French Park is a Local Park located in Providence,0,0,N,,Stansbury,Street,0,,0,Providence,0,0,Local Park,0,1,333
,,,1,,0,0,0,0,0,,,,,,,0,0,,,Y,0,0,0,N,41.84820321,-71.47159759,,3,Ricci School Athletic Complex,,334,MUN,,0,0,0,Ricci School Athletic Complex is a Athletic Field located in North Providence,0,3,N,,Intervale,,0,,4,North Providence,1,0,Athletic Field,0,0,334
,,,1,,1,1,0,0,0,,,,,,,0,1,,,Y,0,0,0,N,41.83821984,-71.45356928,,2,Mount Pleasant H. S. Fields,,340,SCH,,0,0,0,Mount Pleasant H. S. Fields is a School located in Providence,0,2,Y,,Mount Pleasant,Avenue,0,,2,Providence,1,0,School,0,0,340
,,,1,,0,0,0,0,0,,,,,,,0,1,,,Y,0,0,0,N,41.83301314,-71.50100627,,2,Johnston Sr High School,,345,SCH,,0,0,0,Johnston Sr High School is a School located in Johnston,0,1,N,,Cherry Hill,Road,0,,0,Johnston,1,0,School,0,0,345
,,,1,,0,0,0,0,1,,,,,,,1,0,,,Y,0,0,0,N,41.83379245,-71.75236647,,0,Shippee Sawmill Pond,,348,STA,,0,0,0,Shippee Sawmill Pond is a Fishing & Boating Area located in Foster,0,0,N,,Willoughby Young,Road,0,,0,Foster,0,0,Fishing & Boating Area,0,0,348
,,,1,,1,0,0,0,0,,,,,,,1,0,,,Y,0,0,0,N,41.82929879,-71.60489262,,1,Dean Andrews Memorial Field,,352,STA,,1,0,0,Dean Andrews Memorial Field is a Local Park located in Scituate,0,0,N,,Battey Meetinghouse,Road,0,,0,Scituate,0,0,Local Park,0,0,352
,,,0,,0,0,0,0,0,,,,,,,0,0,,,Y,0,0,0,N,41.83000824,-71.41054609,,0,Roger Williams National Park,,355,FED,,0,0,0,Roger Williams National Park is a Local Park located in Providence,0,0,N,,Main,,0,,0,Providence,0,0,Local Park,0,1,355
,,,1,,0,0,0,0,0,,,,,,,0,1,,,Y,0,0,0,N,41.82462196,-71.61897724,,1,Scituate Jr.-Sr. High School,,356,SCH,,0,0,0,Scituate Jr.-Sr. High School is a School located in Scituate,0,1,N,,Rockland,Road,0,,4,Scituate,1,0,School,0,0,356
,,,1,,1,0,0,0,0,,,,,,,0,1,,,Y,0,0,0,N,41.81696043,-71.41934975,,1,Central / Classical  High Schools,,363,SCH,,0,0,0,Central / Classical  High Schools is a School located in Providence,0,1,N,,Broad,Street,0,,0,Providence,0,0,School,0,0,363
,,,1,,0,0,0,0,1,,,,,,,1,0,,,Y,0,0,0,Y,41.815222,-71.39097296,,0,Bold Point Park,,368,MUN,,0,0,0,Bold Point Park is a Local Park located in East Providence,0,0,Y,,Pier,Road,0,,0,East Providence,0,0,Local Park,0,0,368
,,,1,,0,1,0,0,0,,,,,,,0,0,,,Y,0,0,0,N,41.81035173,-71.41596265,,0,Davey Lopes Park,,371,MUN,,1,1,0,Davey Lopes Park is a Local Park located in Providence,0,0,N,,Prairie,Avenue,0,,1,Providence,0,0,Local Park,0,0,371
,,,1,,1,2,0,0,0,,,,,,,0,0,,,Y,0,0,0,N,41.8051943,-71.42864702,,1,Bucklin St. Park / McCrane Pool,,379,MUN,,1,1,0,Bucklin St. Park / McCrane Pool is a Local Park located in Providence,0,1,N,,Bucklin,Street,0,,0,Providence,0,0,Local Park,0,0,379
