ID	OBJECTID	GoRI_TestFlag	GoRI_subset	F_Name	F_Type	Street	Town	OwnerTyp	P_Ground	B_Field	S_Field	F_Field	M_Field	B_Court	T_Court	V_Court	Track	SkatPark	IH_Rink	SH_Rink	Golf	Fishing	Boating	Hunting	Trails	Beach	Pool	ActiveRec	RestRoom	W_Path	B_Path	StateGrant	LWCFGrant	Lon	Lat	Conservation.Area	Description	Are.there.additional.names.for.this.recreational.area	Should.Be.Included.in.GoRI.	Not.Included..Why.	Allow.Dogs	Restrooms.Available.	Americans.with.Disabilities.Act..ADA..Parking	Stroller.Friendly	Picnic.Area	Acres.Miles	Contact.Info	Contact.Info.Seasonal	Link.for.More.Info
707	707	NA	N	Public St. Basketball Court	Athletic Facility	Public	Providence	MUN	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.70935789	41.96454653	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
708	708	NA	N	Manning Field	Athletic Facility	Danielson	Scituate	SCH	0	2	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.45906214	41.95225512	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
709	709	1	Y	Curtis Corner Playfields	Athletic Facility	Curtis Corner	South Kingstown	MUN	1	2	1	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	1	Y	N	-71.4325523	41.90690448	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
710	710	NA	N	Bouley Field	Athletic Facility	Social	Woonsocket	MUN	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.4140903	41.89648928	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
711	711	NA	N	Bentley Field	Athletic Facility	Diamond Hill	Cumberland	UTL	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.39513818	41.89214725	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
712	712	NA	N	Razee Field	Athletic Facility	Nate Whipple	Cumberland	UTL	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.41318056	41.89222464	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
713	713	NA	N	Burrillville Glocester Youth Soccer	Athletic Facility	Putnam	Glocester	PRV	0	0	5	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.371231	41.89197283	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
714	714	NA	N	Putnam Pike Baseball Field	Athletic Facility	Putnam	Glocester	Municipal	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.3952741	41.88606529	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
715	715	NA	N	Casino Street Field	Athletic Facility	Casino	Burrillville	Municipal	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.41417495	41.88146503	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
716	716	1	Y	Union Pond Fishing Access	Fishing / Boating	Reservoir	Burrillville	STA	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	0	N	N	-71.53623906	41.87457105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
717	717	1	Y	Spring Lake Beach	Local Park	Hillside	Burrillville	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	Y	N	-71.41447733	41.87601264	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
718	718	1	Y	Slatersville Pond Fishing Access	Fishing / Boating	Victory Highway	North Smithfield	STA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	N	N	-71.37606847	41.87448776	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
719	719	NA	N	Globe Park	Local Park	Coe	Woonsocket	MUN	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	Y	Y	-71.48793202	41.8658034	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
720	720	NA	Y	Manville Memorial Park	Local Park	High	Lincoln	MUN	1	2	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	N	N	-71.43144753	41.86663561	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
721	721	NA	Y	Great Road Gateway	Local Park	Front	Lincoln	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	N	N	-71.41874411	41.85621963	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
722	722	NA	Y	Tasca Field	Athletic Facility	Washington Highway	Scituate	MUN	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	Y	N	-71.46640681	41.85397611	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
723	723	NA	N	Westconnaug Meadows	Athletic Facility	George Washington	Scituate	Municipal	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Y	N	-71.41880457	41.85112505	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
724	724	NA	N	Boston Road Field	Athletic Facility	Boston	Coventry	Municipal	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.39605819	41.84349506	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
725	725	NA	N	Leina Rose Street Playground	Local Park	Leina Rose	Coventry	UNK	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.40339704	41.84188033	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
726	726	NA	N	Jannitto Memorial Field	Athletic Facility	0	Warren	Municipal	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	N	-71.44228241	41.84207597	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
727	727	NA	N	Island Park Playground	Local Park	Highland	Portsmouth	MUN	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	N	Y	-71.39135991	41.84200883	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
728	728	NA	N	Howland Park	Local Park	Wapping	Middletown	MUN	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	Y	N	-71.46296995	41.83729856	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
729	729	NA	Y	Jamestown Town Pier	Local Park	Conanicus	Jamestown	MUN	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	N	Y	-71.40360486	41.83815009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
